id;room_title;room_description;room_type
1;Car;../fake-data/blob/hipster.txt;Designer Dynamic Manager
2;Fresh magenta groupware;../fake-data/blob/hipster.txt;synthesizing Account
3;Steel e-commerce Cheese;../fake-data/blob/hipster.txt;SQL solution asymmetric
4;Soft capacitor secondary;../fake-data/blob/hipster.txt;Polarised Manager deposit
5;Macao Bosnia;../fake-data/blob/hipster.txt;deposit blue
6;Croatian;../fake-data/blob/hipster.txt;Unbranded bleeding-edge
7;Regional;../fake-data/blob/hipster.txt;Dynamic Intuitive
8;Granite Bulgarian;../fake-data/blob/hipster.txt;invoice Beauty Account
9;digital interactive;../fake-data/blob/hipster.txt;systematic
10;asymmetric Mayotte Home;../fake-data/blob/hipster.txt;Jewelery
